ID,Title,Description,Options,Price
BDC001S,BOHEMIAN DREAM,"<p>A very groovy scent, Bohemian Dream is inspired by Nag Champa incense. Full-bodied with enticing earthy notes, its sweet warmth is renowned, a fragrance unmistakable and ever so popular.</p><p><strong>Top Notes:</strong> Neroli and fir needle</p>
                        <p><strong>Middle Notes:</strong> Coconut husk, lily of the valley and rosewood</p>
                        <p><strong>Base Notes:</strong> Musk, woody and rose petals</p>",small,25.00
BDC001L,BOHEMIAN DREAM,"<p>A very groovy scent, Bohemian Dream is inspired by Nag Champa incense. Full-bodied with enticing earthy notes, its sweet warmth is renowned, a fragrance unmistakable and ever so popular.</p><p><strong>Top Notes:</strong> Neroli and fir needle</p>
                        <p><strong>Middle Notes:</strong> Coconut husk, lily of the valley and rosewood</p>
                        <p><strong>Base Notes:</strong> Musk, woody and rose petals</p>",large,50.00
